feature,importance_mean,importance_std
Protocol,0.34252190779480673,0.00719619764721345
Down/Up Ratio,0.14404288520792297,0.0047389867996630525
SYN Flag Cnt,0.12698837730393864,0.003241339563287384
Pkt Len Mean,0.12350725306671743,0.0029471829906028988
Pkt Len Std,0.10818261640165627,0.0030207410889277575
Flow IAT Max,0.10668646040023808,0.0031533042061034516
Flow IAT Mean,0.08367481717849903,0.002880222571354355
Idle Mean,0.0816309490539928,0.0029138945543758844
Bwd IAT Max,0.07983696496124876,0.0032085923434743238
Flow IAT Std,0.07321639832006581,0.002328288534821784
Flow Pkts/s,0.0573346066511904,0.002982457329294235
ACK Flag Cnt,0.05593713948630541,0.0025957128895141564
Flow Duration,0.0460852944833289,0.0026064108126649457
Tot Fwd Pkts,0.038709317128828656,0.0026892552419270728
Bwd Pkts/s,0.03571057601011618,0.00246121907276755
Bwd IAT Tot,0.035602060717476514,0.002644613559530926
Flow IAT Min,0.030249419418996414,0.0016105816598994097
TotLen Fwd Pkts,0.02808745829912156,0.0014077067048784855
Bwd IAT Mean,0.0276118984395618,0.0020383375324897284
Bwd IAT Std,0.024604209507502795,0.0019955157839977792
Flow Byts/s,0.020742510981631546,0.0012095831368071205
Tot Bwd Pkts,0.018924621355263148,0.002430891428355076
Pkt Len Var,0.016931895897647063,0.0015826534345597587
Bwd IAT Min,0.015123946688565825,0.0014079587966627824
Active Mean,0.0064512024164815164,0.0007653375104721379
TotLen Bwd Pkts,0.0014577498242302144,0.000696384485194733
